,,,Sum of DATA YTD Enrolments,,,,,Sum of DATA YTD Commencements,,,,
Year,Month,State,Higher Education,VET,Schools,ELICOS,Non-award,Higher Education,VET,Schools,ELICOS,Non-award
2019,Jan,NSW,"98,257","59,377","4,596","19,714","7,580","1,762","8,893","1,896","4,653","1,485"
2019,Jan,VIC,"93,632","37,430","7,601","14,926","3,843",637,"5,530","1,232","2,963",651
2019,Jan,QLD,"33,455","20,861","4,104","10,368","2,183",631,"3,472","1,949","2,405",611
2019,Jan,SA,"13,834","4,057","2,153","1,525",997,185,668,835,343,55
2019,Jan,WA,"14,392","7,184",488,"3,195",526,237,"1,150",84,767,156
2019,Jan,TAS,"4,067","2,760",180,227,25,13,374,10,99,0
2019,Jan,NT,"1,201",490,89,102,19,4,169,14,9,4
2019,Jan,ACT,"8,408","1,092",415,413,282,98,27,14,45,6
2019,Jan Total,,"267,246","133,251","19,626","50,470","15,455","3,567","20,283","6,034","11,284","2,968"
2019,Feb,NSW,"120,224","66,453","4,690","23,231","11,711","23,729","15,969","1,990","8,170","5,616"
2019,Feb,VIC,"101,785","43,111","7,698","17,816","6,153","8,790","11,211","1,329","5,853","2,961"
2019,Feb,QLD,"44,031","22,981","4,142","12,510","4,426","11,207","5,592","1,987","4,547","2,854"
2019,Feb,SA,"17,971","4,515","2,207","1,782","1,717","4,322","1,126",889,600,775
2019,Feb,WA,"19,695","8,657",710,"3,681","1,324","5,540","2,623",306,"1,253",954
2019,Feb,TAS,"5,495","3,188",337,300,151,"1,441",802,167,172,126
2019,Feb,NT,"1,506",555,90,117,30,309,234,15,24,15
2019,Feb,ACT,"10,895","1,557",466,498,511,"2,585",492,65,130,235
2019,Feb Total,,"321,602","151,017","20,340","59,935","26,023","57,923","38,049","6,748","20,749","13,536"
2019,Mar,NSW,"127,674","68,510","4,699","26,951","12,724","31,179","18,026","1,999","11,890","6,629"
2019,Mar,VIC,"127,455","46,576","7,709","20,730","8,141","34,460","14,676","1,340","8,767","4,949"
2019,Mar,QLD,"45,179","24,667","4,153","14,653","4,488","12,355","7,278","1,998","6,690","2,916"
2019,Mar,SA,"19,472","4,867","2,213","2,128","1,919","5,823","1,478",895,946,977
2019,Mar,WA,"19,871","9,075",711,"4,232","1,325","5,716","3,041",307,"1,804",955
2019,Mar,TAS,"5,556","3,524",340,392,151,"1,502","1,138",170,264,126
2019,Mar,NT,"1,537",572,90,133,31,340,251,15,40,16
2019,Mar,ACT,"10,957","1,645",467,560,511,"2,647",580,66,192,235
2019,Mar Total,,"357,701","159,436","20,382","69,779","29,290","94,022","46,468","6,790","30,593","16,803"
2019,Apr,NSW,"127,956","77,985","4,966","32,101","13,073","31,461","27,501","2,266","17,040","6,978"
2019,Apr,VIC,"127,796","52,169","7,925","23,771","8,150","34,801","20,269","1,556","11,808","4,958"
2019,Apr,QLD,"45,445","27,388","4,448","16,740","4,489","12,621","9,999","2,293","8,777","2,917"
2019,Apr,SA,"19,509","5,495","2,302","2,503","1,968","5,860","2,106",984,"1,321","1,026"
2019,Apr,WA,"19,909","10,109",738,"5,169","1,394","5,754","4,075",334,"2,741","1,024"
2019,Apr,TAS,"5,568","4,044",342,412,151,"1,514","1,658",172,284,126
2019,Apr,NT,"1,539",672,93,171,31,342,351,18,78,16
2019,Apr,ACT,"10,978","1,882",480,810,519,"2,668",817,79,442,243
2019,Apr Total,,"358,700","179,744","21,294","81,677","29,775","95,021","66,776","7,702","42,491","17,288"
2019,May,NSW,"128,959","82,314","4,987","35,679","13,219","32,464","31,830","2,287","20,618","7,124"
2019,May,VIC,"128,068","55,366","7,938","25,945","8,173","35,073","23,466","1,569","13,982","4,981"
2019,May,QLD,"45,779","28,883","4,460","18,070","4,614","12,955","11,494","2,305","10,107","3,042"
2019,May,SA,"19,559","5,745","2,303","2,622","1,968","5,910","2,356",985,"1,440","1,026"
2019,May,WA,"19,944","10,520",760,"5,581","1,407","5,789","4,486",356,"3,153","1,037"
2019,May,TAS,"5,579","4,362",342,478,151,"1,525","1,976",172,350,126
2019,May,NT,"1,542",715,93,188,32,345,394,18,95,17
2019,May,ACT,"10,985","2,010",480,828,519,"2,675",945,79,460,243
2019,May Total,,"360,415","189,915","21,363","89,391","30,083","96,736","76,947","7,771","50,205","17,596"
2019,Jun,NSW,"130,129","83,625","4,991","38,603","13,647","33,634","33,141","2,291","23,542","7,552"
2019,Jun,VIC,"129,146","58,022","7,942","27,598","8,369","36,151","26,122","1,573","15,635","5,177"
2019,Jun,QLD,"46,507","30,196","4,463","19,564","4,902","13,683","12,807","2,308","11,601","3,330"
2019,Jun,SA,"19,843","6,053","2,308","2,773","2,000","6,194","2,664",990,"1,591","1,058"
2019,Jun,WA,"20,261","10,685",761,"6,051","1,436","6,106","4,651",357,"3,623","1,066"
2019,Jun,TAS,"5,614","4,676",344,491,151,"1,560","2,290",174,363,126
2019,Jun,NT,"1,544",722,95,207,32,347,401,20,114,17
2019,Jun,ACT,"11,077","2,068",481,837,529,"2,767","1,003",80,469,253
2019,Jun Total,,"364,121","196,047","21,385","96,124","31,066","100,442","83,079","7,793","56,938","18,579"
