Year,Month,Bus,Ferry,Metro,Train,All
2019,Jan,22040138.0,1619996.0,,29925564.0,54210931.0
2019,Feb,25713814.0,1266715.0,,32218764.0,60087643.0
2019,Mar,28742223.0,1300757.0,,36530266.0,67583312.0
2019,Apr,24442222.0,1432483.0,,32810678.0,59590909.0
2019,May,28499242.0,1179849.0,296104.0,37562121.0,68449486.0
2019,Jun,24240764.0,1167062.0,1706604.0,32112300.0,60163410.0
2019,Jul,25323013.0,1258359.0,1958820.0,34148122.0,63675286.0
2019,Aug,26952521.0,1106000.0,2084591.934723,34927511.0,66059669.934723005
2019,Sep,25626287.0,1156158.0,1989977.0,33518338.0,63148128.0
2019,Oct,26664094.0,1340447.0,2206919.333467,34998484.0,66208609.333467
2019,Nov,27053049.0,1266976.0,2047537.0,34137150.0,65481522.0
2019,Dec,23199767.0,1457726.0,1922818.0,30275150.0,58539077.0
2020,Jan,22130032.0,1522325.0,1865446.0,29399461.0,57098170.0
2020,Feb,25206493.0,1063308.0,1900095.0,30168810.0,60289465.0
2020,Mar,19191569.0,677265.0,1408500.0,22506278.0,45048295.0
2020,Apr,5504822.0,91230.0,262852.0,6095725.0,12186661.0
2020,May,8549735.0,203728.0,449327.0,9323674.0,18970297.0
2020,Jun,12386023.0,377351.0,795627.0,13762670.0,28093950.0
2020,Jul,13132371.0,463754.0,943774.0,15446904.0,30981173.0
2020,Aug,13107189.0,369977.0,948902.0,14385299.0,29776835.0
2020,Sep,13690626.0,441991.0,1003812.0,15556289.0,31752323.0
2020,Oct,14059038.0,560732.0,1052802.0,16502457.0,33452574.0
2020,Nov,14809745.0,529113.0,1162246.0,17317270.0,35210189.0
2020,Dec,13391873.0,481290.0,1117564.0,16173796.0,32616769.0
2021,Jan,11567325.0,539271.0,924685.0,13616536.0,27921446.0
2021,Feb,14964876.0,547260.0,1263058.0,17765453.0,36203854.0
2021,Mar,17032074.0,609963.0,1546314.0,20925803.0,41930788.0
2021,Apr,15471111.0,926107.0,1454810.0,20552499.0,40552149.0
2021,May,16650452.0,660979.0,1607509.0,21038609.0,41956834.0
2021,Jun,13859329.0,486379.0,1222024.0,17193476.0,34433909.0
2021,Jul,5106594.0,80887.0,288195.0,5268833.0,11096000.0
2021,Aug,4287197.0,59618.0,207618.0,4245889.0,9086788.0
2021,Sep,4657167.0,82924.0,217420.0,4592053.0,9899727.0
2021,Oct,8399539.0,332483.0,582177.0,9256566.0,19416167.0
2021,Nov,12436572.0,441196.0,1008021.0,14568385.0,29474813.0
2021,Dec,11147012.0,632380.0,1032122.0,13901180.0,28019117.0
